INDICATIVO ,Nombre ,NOM_PROV ,NOM_MUNI ,ALTITUD ,LAT ,Latitud ,LON ,Longitud ,C_X ,C_Y ,DATUM ,IND_SYN ,ALTA ,BAJA
1178R ,SOTRES  PARQUE NACIONAL PICOS DE EUROPA ,ASTURIAS ,CABRALES ,1236 ,431415 ,43.1415 ,444122 ,-4.44122 ,358992 ,4788654 ,ETRS89 , ,01/06/2019 ,
1179B ,CARREÑA DE CABRALES ,ASTURIAS ,CABRALES ,458 ,431840 ,43.184 ,451102 ,-4.51102 ,349746 ,4797032 ,ETRS89 , ,01/07/2009 ,
1181E ,BUELLES ,ASTURIAS ,PEÑAMELLERA BAJA ,80 ,432003 ,43.2003 ,431492 ,-4.31492 ,375947 ,4799062 ,ETRS89 , ,01/01/2009 ,
1183X ,LLANES ,ASTURIAS ,LLANES ,10 ,432513 ,43.2513 ,444532 ,-4.44532 ,358493 ,4808972 ,ETRS89 ,8016 ,01/04/1997 ,
1186I ,AMIEVA (CAMPORRIONDI) ,ASTURIAS ,AMIEVA ,180 ,431506 ,43.1506 ,506272 ,-5.06272 ,328921 ,4790920 ,ETRS89 , ,01/01/1971 ,
1186P ,AMIEVA  PANIZALES ,ASTURIAS ,AMIEVA ,370 ,431600 ,43.16 ,507092 ,-5.07092 ,328017 ,4792610 ,ETRS89 , ,01/05/2008 ,
1191 ,AMIEVA (RESTAÑO) ,ASTURIAS ,AMIEVA ,730 ,431328 ,43.1328 ,501512 ,-5.01512 ,335072 ,4787743 ,ETRS89 , ,01/07/1917 ,
1199B ,BARGAEDO ,ASTURIAS ,PILOÑA ,280 ,432240 ,43.224 ,523482 ,-5.23482 ,305849 ,4805559 ,ETRS89 , ,01/08/1979 ,
1199X ,BARGAÑU PILOÑA ,ASTURIAS ,PILOÑA ,280 ,432240 ,43.224 ,523482 ,-5.23482 ,305849 ,4805559 ,ETRS89 , ,01/05/2008 ,
1202D ,SANTIANES DEL AGUA ,ASTURIAS ,RIBADESELLA ,10 ,432527 ,43.2527 ,503432 ,-5.03432 ,333100 ,4809983 ,ETRS89 , ,01/04/2014 ,
1203D ,COLUNGA ,ASTURIAS ,COLUNGA ,30 ,432933 ,43.2933 ,514502 ,-5.14502 ,318300 ,4817963 ,ETRS89 , ,01/08/2001 ,
1207U ,GIJÓN-CAMPUS ,ASTURIAS ,GIJÓN ,26 ,433123 ,43.3123 ,537162 ,-5.37162 ,288175 ,4822241 ,ETRS89 ,8065 ,01/03/1975 ,
1208H ,GIJÓN  MUSEL ,ASTURIAS ,GIJÓN ,5 ,433336 ,43.3336 ,542032 ,-5.42032 ,281865 ,4826551 ,ETRS89 ,8014 ,01/03/2001 ,
1209L ,VALLE DE LA ZOREDA ,ASTURIAS ,GIJÓN ,110 ,433002 ,43.3002 ,549122 ,-5.49122 ,272016 ,4820268 ,ETRS89 , ,01/05/1994 ,
1210 ,CABO DE PEÑAS ,ASTURIAS ,GOZÓN ,100 ,433921 ,43.3921 ,550552 ,-5.50552 ,270294 ,4837593 ,ETRS89 , ,01/09/1946 ,
1210X ,CABO PEÑAS ,ASTURIAS ,GOZÓN ,100 ,433921 ,43.3921 ,550552 ,-5.50552 ,270294 ,4837593 ,ETRS89 ,8012 ,01/06/1997 ,
1212E ,ASTURIAS/AVILÉS ,ASTURIAS ,CASTRILLÓN ,127 ,433401 ,43.3401 ,602392 ,-6.02392 ,254162 ,4828281 ,ETRS89 ,8011 ,01/08/1968 ,
1213D ,SOTO DEL BARCO-LA ISLA ,ASTURIAS ,SOTO DEL BARCO ,10 ,433129 ,43.3129 ,604512 ,-6.04512 ,251027 ,4823701 ,ETRS89 , ,01/06/2003 ,
1216 ,RIOSECO DE SOBRESCOBIO ,ASTURIAS ,SOBRESCOBIO ,383 ,431309 ,43.1309 ,527112 ,-5.27112 ,300764 ,4788076 ,ETRS89 , ,01/09/1969 ,
1216D ,RIOSECO-DEPURADORA ,ASTURIAS ,LAVIANA ,370 ,431344 ,43.1344 ,529322 ,-5.29322 ,297615 ,4789250 ,ETRS89 , ,01/05/1993 ,
1218D ,MUÑERA ,ASTURIAS ,LAVIANA ,320 ,431357 ,43.1357 ,531412 ,-5.31412 ,294717 ,4789738 ,ETRS89 , ,01/08/2001 ,
1218W ,EL COLLÁU ,ASTURIAS ,SAN MARTÍN DEL REY AURELIO ,410 ,431737 ,43.1737 ,538292 ,-5.38292 ,285728 ,4796810 ,ETRS89 , ,01/07/2019 ,
1221D ,PAJARES - VALGRANDE ,ASTURIAS ,LENA ,1480 ,425843 ,42.5843 ,546352 ,-5.46352 ,273616 ,4762182 ,ETRS89 ,8031 ,01/03/1997 ,
1223P ,RONZÓN ,ASTURIAS ,LENA ,370 ,430758 ,43.0758 ,549222 ,-5.49222 ,270410 ,4779430 ,ETRS89 , ,01/07/2009 ,
1226 ,CUEVAS DE FELECHOSA ,ASTURIAS ,ALLER ,750 ,430543 ,43.0543 ,528372 ,-5.28372 ,298416 ,4774375 ,ETRS89 , ,01/02/1994 ,
1226X ,CUEVAS DE FELECHOSA ,ASTURIAS ,ALLER ,750 ,430543 ,43.0543 ,528372 ,-5.28372 ,298416 ,4774375 ,ETRS89 , ,01/06/2008 ,
1234P ,MIERES-BAÍÑA ,ASTURIAS ,MIERES ,170 ,431630 ,43.163 ,549092 ,-5.49092 ,271236 ,4795215 ,ETRS89 , ,01/11/1976 ,
1235 ,SOTO DE RIBERA ,ASTURIAS ,RIBERA DE ARRIBA ,130 ,431838 ,43.1838 ,552222 ,-5.52222 ,267021 ,4799312 ,ETRS89 , ,01/08/1960 ,
1239I ,PROAZA ,ASTURIAS ,PROAZA ,200 ,431456 ,43.1456 ,601002 ,-6.01002 ,255104 ,4792875 ,ETRS89 , ,01/09/1969 ,
1243C ,ORDIALES ,ASTURIAS ,SIERO ,360 ,432509 ,43.2509 ,537422 ,-5.37422 ,287227 ,4810721 ,ETRS89 , ,01/05/2001 ,
1249X ,OVIEDO ,ASTURIAS ,OVIEDO ,334 ,432112 ,43.2112 ,552272 ,-5.52272 ,267072 ,4804067 ,ETRS89 ,8015 ,01/10/1975 ,
1251 ,GRADO ,ASTURIAS ,GRADO ,60 ,432239 ,43.2239 ,604102 ,-6.04102 ,251345 ,4807316 ,ETRS89 , ,01/06/1941 ,
1255 ,CANGAS DE NARCEA (MUNIELLOS) ,ASTURIAS ,CANGAS DEL NARCEA ,670 ,430209 ,43.0209 ,640532 ,-6.40532 ,200096 ,4771377 ,ETRS89 , ,01/01/1961 ,
1259 ,GENESTOSO ,ASTURIAS ,CANGAS DEL NARCEA ,1170 ,430353 ,43.0353 ,623302 ,-6.23302 ,223830 ,4773589 ,ETRS89 , ,01/01/1961 ,
1265 ,BESULLO DE CANGAS DE NARCEA ,ASTURIAS ,CANGAS DEL NARCEA ,520 ,431116 ,43.1116 ,638082 ,-6.38082 ,204563 ,4788090 ,ETRS89 , ,01/02/1961 ,
1267 ,ARGANZA ,ASTURIAS ,TINEO ,340 ,431512 ,43.1512 ,630112 ,-6.30112 ,215636 ,4794911 ,ETRS89 , ,01/01/1961 ,
1272 ,SOTO DE LA BARCA ,ASTURIAS ,TINEO ,210 ,431729 ,43.1729 ,623442 ,-6.23442 ,224535 ,4798777 ,ETRS89 , ,01/01/1967 ,
1272B ,SOUTU  LA BARCA ,ASTURIAS ,TINEO ,280 ,431725 ,43.1725 ,623122 ,-6.23122 ,225252 ,4798624 ,ETRS89 , ,01/05/2008 ,
1273 ,PRESA DE LA BARCA ,ASTURIAS ,TINEO ,150 ,431917 ,43.1917 ,618132 ,-6.18132 ,232127 ,4801809 ,ETRS89 , ,01/01/1967 ,
1276F ,POLA DE SOMIEDO-DEPURADORA ,ASTURIAS ,SOMIEDO ,670 ,430600 ,43.06 ,615252 ,-6.15252 ,234953 ,4777072 ,ETRS89 , ,01/07/2009 ,
1278C ,EL CASTRO-BODENAYA ,ASTURIAS ,SALAS ,670 ,432443 ,43.2443 ,619012 ,-6.19012 ,231446 ,4811910 ,ETRS89 , ,01/06/2003 ,
1279C ,CAMUÑO ,ASTURIAS ,SALAS ,240 ,432530 ,43.253 ,613512 ,-6.13512 ,238474 ,4813086 ,ETRS89 , ,01/01/1982 ,
1279X ,CAMUÑO ,ASTURIAS ,SALAS ,240 ,432530 ,43.253 ,613512 ,-6.13512 ,238474 ,4813086 ,ETRS89 , ,01/05/2008 ,
1281J ,SAN CRISTOBAL DE CUDILLERO ,ASTURIAS ,CUDILLERO ,350 ,433118 ,43.3118 ,609582 ,-6.09582 ,244122 ,4823621 ,ETRS89 , ,01/12/1988 ,
1283U ,CABO BUSTO ,ASTURIAS ,VALDÉS ,60 ,433409 ,43.3409 ,628122 ,-6.28122 ,219782 ,4829877 ,ETRS89 ,8010 ,01/04/1997 ,
1287 ,ZARDAIN ,ASTURIAS ,TINEO ,400 ,432328 ,43.2328 ,633032 ,-6.33032 ,212409 ,4810377 ,ETRS89 , ,01/08/1966 ,
1288 ,VALLE DE TABLADO ,ASTURIAS ,TINEO ,630 ,432222 ,43.2222 ,628162 ,-6.28162 ,218782 ,4808069 ,ETRS89 , ,01/05/1954 ,
1294C ,SAN MARTÍN DE SANTIAGO ,ASTURIAS ,VALDÉS ,40 ,433235 ,43.3235 ,633142 ,-6.33142 ,212883 ,4827264 ,ETRS89 , ,01/04/2016 ,
1302F ,DEGAÑA  COTO CORTÉS ,ASTURIAS ,DEGAÑA ,1310 ,425719 ,42.5719 ,628212 ,-6.28212 ,216744 ,4761704 ,ETRS89 , ,01/05/2008 ,
1309 ,SAN ANTOLIN DE IBIAS ,ASTURIAS ,IBIAS ,308 ,430216 ,43.0216 ,652322 ,-6.52322 ,184292 ,4772297 ,ETRS89 , ,01/01/1967 ,
1309C ,SAN ANTOLIN DE IBIAS-LINARES ,ASTURIAS ,IBIAS ,780 ,430139 ,43.0139 ,653062 ,-6.53062 ,183464 ,4771200 ,ETRS89 , ,01/05/2008 ,
1320 ,ILLANO-CARBAYAL ,ASTURIAS ,ILLANO ,930 ,432024 ,43.2024 ,653382 ,-6.53382 ,184357 ,4805943 ,ETRS89 , ,01/12/2001 ,
1327A ,ONETA ,ASTURIAS ,VILLAYÓN ,410 ,432756 ,43.2756 ,640242 ,-6.40242 ,202852 ,4819076 ,ETRS89 , ,01/02/2000 ,
1327U ,NAVIA-ENCE ,ASTURIAS ,NAVIA ,10 ,433137 ,43.3137 ,643272 ,-6.43272 ,199045 ,4826078 ,ETRS89 , ,01/08/1989 ,
1331A ,CASTROPOL ,ASTURIAS ,CASTROPOL ,40 ,433129 ,43.3129 ,701532 ,-7.01532 ,174204 ,4826990 ,ETRS89 ,8009 ,01/11/2014 ,
1331B ,CASTROPOL MANUAL ,ASTURIAS ,CASTROPOL ,40 ,433129 ,43.3129 ,701532 ,-7.01532 ,174204 ,4826990 ,ETRS89 , ,01/07/2015 ,
1340A ,TARAMUNDI (LORIDO) ,ASTURIAS ,TARAMUNDI ,340 ,432136 ,43.2136 ,706382 ,-7.06382 ,166901 ,4809008 ,ETRS89 , ,01/08/1972 ,
1341B ,OURIA DE TARAMUNDI ,ASTURIAS ,TARAMUNDI ,340 ,432456 ,43.2456 ,703402 ,-7.03402 ,171209 ,4814982 ,ETRS89 , ,01/08/2008 ,
1542 ,PUERTO DE LEITARIEGOS ,ASTURIAS ,CANGAS DEL NARCEA ,1530 ,425939 ,42.5939 ,624512 ,-6.24512 ,221679 ,4765828 ,ETRS89 ,8052 ,01/01/1961 ,
1743B ,BUFERRERA-PARQUE ,ASTURIAS ,CANGAS DE ONÍS ,1080 ,431638 ,43.1638 ,459092 ,-4.59092 ,338866 ,4793516 ,ETRS89 , ,01/08/1999 ,
